id,question,choice1,choice2,choice3,choice4,correct_answer_index,explanation
1,"Sakamoto ___ his breakfast every morning at 7:30.",eats,ate,eating,eat,1,"「eats」は三人称単数現在形。坂本は毎朝7時30分に朝食を食べます。"
2,"Shin can ___ very fast when he needs to escape.",run,running,ran,runs,1,"「can」の後は動詞の原形。シンは逃げる必要があるときとても速く走ることができます。"
3,"The store ___ at 9:00 AM every day.",opens,opened,opening,open,1,"「opens」は三人称単数現在形。その店は毎日午前9時に開店します。"
4,"Lu ___ cooking for her friends yesterday.",enjoyed,enjoys,enjoying,enjoy,1,"「yesterday」があるので過去形。ルーは昨日友達のために料理するのを楽しみました。"
5,"You ___ eat vegetables to stay healthy.",should,could,would,might,1,"「should」は「～するべき」。健康でいるために野菜を食べるべきです。"
6,"The book is ___ the table in the living room.",on,in,at,under,1,"「on the table」は「テーブルの上に」。本はリビングのテーブルの上にあります。"
7,"Sakamoto ___ to work by train every morning.",goes,went,going,go,1,"「every morning」があるので現在形。坂本は毎朝電車で仕事に行きます。"
8,"Aoi ___ what her father is thinking about.",knows,knew,knowing,know,1,"「knows」は三人称単数現在形。アオイは父親が何を考えているか知っています。"
9,"Heisuke ___ practicing his shooting skills last week.",was,were,is,are,1,"「last week」があるので過去形。ヘイスケは先週射撃の練習をしていました。"
10,"Natsuki can ___ any computer problem easily.",solve,solving,solved,solves,1,"「can」の後は動詞の原形。ナツキはどんなコンピューター問題も簡単に解決できます。"
11,"The weather ___ very nice today.",is,was,are,were,1,"「today」があり主語が単数なので「is」。今日の天気はとても良いです。"
12,"Shin ___ his old life as an assassin.",misses,missed,missing,miss,1,"「misses」は三人称単数現在形。シンは暗殺者だった昔の生活を懐かしく思います。"
13,"They ___ to the new convenience store yesterday.",went,go,going,goes,1,"「yesterday」があるので過去形。彼らは昨日新しいコンビニに行きました。"
14,"Sakamoto ___ very strong when he was young.",was,is,were,are,1,"「when he was young」があるので過去形。坂本は若い頃とても強かったです。"
15,"The cat is sleeping ___ the chair.",under,on,in,at,1,"「under the chair」は「椅子の下で」。猫は椅子の下で寝ています。"
16,"Lu ___ her cooking every day.",practices,practiced,practicing,practice,1,"「every day」があるので現在形。ルーは毎日料理を練習しています。"
17,"You ___ be careful when crossing the street.",must,can,may,will,1,"「must」は「～しなければならない」。道を渡るときは注意しなければなりません。"
18,"Aoi ___ to school with her friends.",walks,walked,walking,walk,1,"「walks」は三人称単数現在形。アオイは友達と一緒に学校を歩いて行きます。"
19,"The movie ___ at 7:00 PM last night.",started,starts,starting,start,1,"「last night」があるので過去形。映画は昨夜7時に始まりました。"
20,"Heisuke ___ his rifle every morning.",cleans,cleaned,cleaning,clean,1,"「every morning」があるので現在形。ヘイスケは毎朝ライフルを掃除します。"
21,"The convenience store is ___ the corner.",at,in,on,under,1,"「at the corner」は「角に」。コンビニは角にあります。"
22,"Natsuki ___ working on her computer now.",is,was,are,were,1,"「now」があり主語が単数なので「is」。ナツキは今コンピューターで作業をしています。"
23,"Sakamoto ___ his family very much.",loves,loved,loving,love,1,"「loves」は三人称単数現在形。坂本は家族をとても愛しています。"
24,"Shin ___ to be a normal person.",wants,wanted,wanting,want,1,"「wants」は三人称単数現在形。シンは普通の人になりたいと思っています。"
25,"They ___ pizza for dinner last night.",had,have,having,has,1,"「last night」があるので過去形。彼らは昨夜夕食にピザを食べました。"
26,"The keys are ___ my bag.",in,on,at,under,1,"「in my bag」は「私のバッグの中に」。鍵は私のバッグの中にあります。"
27,"Lu ___ very well yesterday.",cooked,cooks,cooking,cook,1,"「yesterday」があるので過去形。ルーは昨日とても上手に料理しました。"
28,"You ___ help your friends when they need it.",should,could,would,might,1,"「should」は「～するべき」。友達が助けを必要としているときは助けるべきです。"
29,"Aoi ___ her homework every evening.",does,did,doing,do,1,"「every evening」があるので現在形。アオイは毎晩宿題をします。"
30,"Heisuke ___ very quietly through the building.",moved,moves,moving,move,1,"過去の出来事として過去形。ヘイスケは建物の中をとても静かに移動しました。"
31,"The pen is ___ the desk drawer.",in,on,at,under,1,"「in the drawer」は「引き出しの中に」。ペンは机の引き出しの中にあります。"
32,"Natsuki ___ many programming languages.",knows,knew,knowing,know,1,"「knows」は三人称単数現在形。ナツキは多くのプログラミング言語を知っています。"
33,"Sakamoto ___ his coffee every morning.",drinks,drank,drinking,drink,1,"「every morning」があるので現在形。坂本は毎朝コーヒーを飲みます。"
34,"Shin ___ very tired after the long mission.",was,is,were,are,1,"過去の状況なので過去形。シンは長い任務の後とても疲れていました。"
35,"They ___ to the park every weekend.",go,went,going,goes,1,"「every weekend」があるので現在形。彼らは毎週末公園に行きます。"
36,"The picture is ___ the wall.",on,in,at,under,1,"「on the wall」は「壁に」。絵は壁にあります。"
37,"Lu ___ her grandmother's recipes.",remembers,remembered,remembering,remember,1,"「remembers」は三人称単数現在形。ルーは祖母のレシピを覚えています。"
38,"You ___ speak English well.",can,could,should,must,1,"「can」は「～できる」。あなたは英語を上手に話すことができます。"
39,"Aoi ___ her father's stories.",listens to,listened to,listening to,listen to,1,"「listens to」は三人称単数現在形。アオイは父親の話を聞きます。"
40,"Heisuke ___ his target from a distance yesterday.",watched,watches,watching,watch,1,"「yesterday」があるので過去形。ヘイスケは昨日遠くからターゲットを見張りました。"
41,"The dog is playing ___ the garden.",in,on,at,under,1,"「in the garden」は「庭で」。犬は庭で遊んでいます。"
42,"Natsuki ___ her computer skills every day.",improves,improved,improving,improve,1,"「every day」があるので現在形。ナツキは毎日コンピュータースキルを向上させています。"
43,"Sakamoto ___ very happy with his family.",is,was,are,were,1,"現在の状況なので現在形。坂本は家族と一緒にいてとても幸せです。"
44,"Shin ___ the convenience store yesterday evening.",visited,visits,visiting,visit,1,"「yesterday evening」があるので過去形。シンは昨日の夕方コンビニを訪れました。"
